species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
Mtb,two-compartment mechanistic,k_SP,-10%,time_to_LOD_h,379.50713925049206,371.0880915979123,-8.419047652579764,-2.218416146059062,0.22184161460590623,False
Mtb,two-compartment mechanistic,k_SP,-10%,MDK99_h,31.2698648908004,30.007087798888392,-1.2627770919120067,-4.0383196292079795,0.40383196292079804,False
Mtb,two-compartment mechanistic,k_PS,+10%,log10_drop_240h,3.247547494619534,3.3878741291644996,0.1403266345449654,4.321003304107347,0.4321003304107342,False
Mtb,two-compartment mechanistic,k_PS,+10%,time_to_LOD_h,379.50713925049206,345.03758083663723,-34.46955841385483,-9.082716726207183,-0.9082716726207174,False
Mtb,two-compartment mechanistic,k_PS,+10%,MDK99_h,31.2698648908004,29.92301394893216,-1.3468509418682402,-4.3071850376446115,-0.43071850376446075,False
Mtb,two-compartment mechanistic,k_PS,-10%,log10_drop_240h,3.247547494619534,3.102915880956252,-0.14463161366328237,-4.453564232791202,0.44535642327912034,False
Mtb,two-compartment mechanistic,k_PS,-10%,time_to_LOD_h,379.50713925049206,420.87794897285903,41.37080972236697,10.901194060294173,-1.0901194060294173,False
Mtb,two-compartment mechanistic,k_PS,-10%,MDK99_h,31.2698648908004,33.335290373663085,2.065425482862686,6.605162798353935,-0.6605162798353936,False
S. aureus,two-compartment mechanistic,r,+10%,log10_drop_240h,13.97226561168106,306.0,292.02773438831895,2090.0528411382234,209.00528411382214,False
S. aureus,two-compartment mechanistic,r,+10%,time_to_LOD_h,21.317513129398776,22.0965870601404,0.7790739307416246,3.65461921384822,0.36546192138482164,False
S. aureus,two-compartment mechanistic,r,+10%,MDK99_h,8.218689455987422,9.010162020330236,0.7914725643428149,9.63015537430018,0.9630155374300171,False
S. aureus,two-compartment mechanistic,r,-10%,log10_drop_240h,13.97226561168106,306.0,292.02773438831895,2090.0528411382234,-209.00528411382237,False
S. aureus,two-compartment mechanistic,r,-10%,time_to_LOD_h,21.317513129398776,20.768286411610028,-0.5492267177887484,-2.5764108339228144,0.2576410833922815,False
